id,title,category,source,tags,source_url
arxiv_2012.05213v2,Participatory Budgeting with Project Groups,cs.GT,ArXiv,,http://arxiv.org/abs/2012.05213v2
arxiv_2606.16989v1,Stable Menus of Public Goods: AI-Enabled Progress,cs.GT,ArXiv,,http://arxiv.org/abs/2606.16989v1
arxiv_2607.28520v1,Agents That Certify Their Own Exploits: Confidence-Scheduled Restricted Responses for Safe Opponent Exploitation,cs.GT,ArXiv,,http://arxiv.org/abs/2607.28520v1
arxiv_2607.28575v1,Algorithms for Structured Elections under Thiele Voting Rules,cs.GT,ArXiv,,http://arxiv.org/abs/2607.28575v1
arxiv_2608.06353v1,Resourced Authority A Mechanism-Design Model for Participatory Governance of Deployed AI Agents,cs.GT,ArXiv,,http://arxiv.org/abs/2608.06353v1
arxiv_2608.06362v1,AV-AIVAT: 74x Cheaper Agent Evaluation with Certified Anytime-Valid Stopping in Imperfect-Information Games,cs.GT,ArXiv,,http://arxiv.org/abs/2608.06362v1
