id,title,category,source,tags,source_url
arxiv_2502.02891v2,Interactive Stroke-based Neural SDF Sculpting,cs.GR,ArXiv,,http://arxiv.org/abs/2502.02891v2
arxiv_2503.15225v3,Reproducing Human Individual Motor Signatures: A Data-Driven Approach for Repetitive Motion,cs.GR,ArXiv,,http://arxiv.org/abs/2503.15225v3
arxiv_2605.17557v3,Real-Time Neural Hair G-Buffer Anti-Aliasing,cs.GR,ArXiv,,http://arxiv.org/abs/2605.17557v3
arxiv_2607.22674v2,Text-based Tactile Graphics Generation for the Visually Impaired,cs.GR,ArXiv,,http://arxiv.org/abs/2607.22674v2
arxiv_2608.17975v1,aDSL: Agentic 3D Creation via Joint Agent-Program Design,cs.GR,ArXiv,,http://arxiv.org/abs/2608.17975v1
