id,title,category,source,tags,source_url
arxiv_2606.13629v1,Valid Inference with Synthetic Data via Task Exchangeability,stat.ME,ArXiv,,http://arxiv.org/abs/2606.13629v1
arxiv_2606.17165v2,Statistical Foundations of LLM-based A/B Testing: A Surrogacy Framework for Human Causal Inference,stat.ME,ArXiv,,http://arxiv.org/abs/2606.17165v2
arxiv_2607.10038v2,Geometric mean-based pairwise comparison method with the reference values -- statistical approach,stat.ME,ArXiv,,http://arxiv.org/abs/2607.10038v2
arxiv_2608.28576v1,Learning a Size-Weight Frontier for Synthetic-Augmented Inference,stat.ME,ArXiv,,http://arxiv.org/abs/2608.28576v1
