id,title,category,source,tags,source_url
arxiv_2112.04573v2,Application of Artificial Intelligence and Machine Learning in Libraries: A Systematic Review,cs.DL,ArXiv,,http://arxiv.org/abs/2112.04573v2
arxiv_2606.24894v4,RWGBench: Evaluating Scholarly Positioning in Related Work Generation,cs.DL,ArXiv,,http://arxiv.org/abs/2606.24894v4
arxiv_2607.20328v1,Understanding Generative AI-mediated User Engagement with Academic Library Resources,cs.DL,ArXiv,,http://arxiv.org/abs/2607.20328v1
arxiv_2609.07595v2,"Same Problem, Different Field: Cross-Domain Solution Import via Domain-Stripped Computational Fingerprints",cs.DL,ArXiv,,http://arxiv.org/abs/2609.07595v2
