id,title,category,source,tags,source_url
arxiv_2606.07316v2,Certifiable Semantic Agreement Among LLM Agents: What the Admissibility Instrument Decides,cs.MA,ArXiv,,http://arxiv.org/abs/2606.07316v2
arxiv_2606.14693v1,Learning Coordinated Preference for Multi-Objective Multi-Agent Reinforcement Learning,cs.MA,ArXiv,,http://arxiv.org/abs/2606.14693v1
arxiv_2606.19319v1,"Data Intelligence Agents: Interpreting, Modeling, and Querying Enterprise Data via Autonomous Coding Agents",cs.MA,ArXiv,,http://arxiv.org/abs/2606.19319v1
arxiv_2607.15434v3,Coercion and Deception in AI-to-AI Management: An Agentic Benchmark of Unprompted Escalation,cs.MA,ArXiv,,http://arxiv.org/abs/2607.15434v3
arxiv_2607.23982v3,Moral Hazard in Multi-Agent Language Models,cs.MA,ArXiv,,http://arxiv.org/abs/2607.23982v3
arxiv_2608.07454v1,Strategy-first synthesis planning for complex natural products,cs.MA,ArXiv,,http://arxiv.org/abs/2608.07454v1
arxiv_2608.23541v1,The Interaction Tax: When Communication Erases Diversity in Multi-Agent Teams,cs.MA,ArXiv,,http://arxiv.org/abs/2608.23541v1
arxiv_2608.29615v1,Forward-Deployed Full-Stack Engineering for Autonomous Cloud MLOps,cs.MA,ArXiv,,http://arxiv.org/abs/2608.29615v1
arxiv_2608.29622v1,"AgenticRag-R1: Agentic Reinforcement Learning with Stack Memory for Multi-Step Reasoning, Retrieval and Memorizing",cs.MA,ArXiv,,http://arxiv.org/abs/2608.29622v1
