id,title,category,source,tags,source_url
arxiv_2607.21579v1,Barzilai-Borwein Fails Superlinear Convergence on an Open Set of Quadratics for Every Dimension $n\geq 4$,math.OC,ArXiv,,http://arxiv.org/abs/2607.21579v1
arxiv_2607.21579v1,,math.OC,ArXiv,,http://arxiv.org/abs/2607.21579v1
arxiv_2607.23116v2,KAYROS: An Anytime and Exact Open-Source Solver for Duration-Minimization Time-Dependent Vehicle Routing. A Technical Report and a Case Study in Human-AI Engineering,math.OC,ArXiv,,http://arxiv.org/abs/2607.23116v2
arxiv_2607.23116v2,,math.OC,ArXiv,,http://arxiv.org/abs/2607.23116v2
arxiv_2608.14396v1,AI-Assisted Discovery and Construction of a Counterexample to the Convergence of Three-Block ADMM with the Identity Matrix as its Third Constraint Block,math.OC,ArXiv,,http://arxiv.org/abs/2608.14396v1
arxiv_2608.21359v1,Primal Acceleration of Newton's Method,math.OC,ArXiv,,http://arxiv.org/abs/2608.21359v1
arxiv_2608.26051v1,The Value of Human Expertise,math.OC,ArXiv,,http://arxiv.org/abs/2608.26051v1
