id,title,category,source,tags,source_url
arxiv_2504.16173v3,FPGA-Based Neural Network Accelerators for Space Applications: A Survey,cs.AR,ArXiv,,http://arxiv.org/abs/2504.16173v3
arxiv_2607.22389v1,HiKV: Hierarchical Importance-Aware KV Cache with Hardware Acceleration for LLM Decoding,cs.AR,ArXiv,,http://arxiv.org/abs/2607.22389v1
arxiv_2607.26016v1,MDTransformer: A Hardware-Software Co-Design of Mode-Division Photonic Transformer Accelerator with Inverse-Designed Coherent Crossbar,cs.AR,ArXiv,,http://arxiv.org/abs/2607.26016v1
